source,id,doi,title,abstract,authors,published,pdf_url,topics,journal,assigned_sectors,provenance_sources,query_sector
UNZA DSpace,oai:dspace.unza.zm:123456789/8231,,Reforming school experience in pre-service  teacher preparation for quality teacher graduates.,"Article; It is well a known fact that quality teaching is key to 
learning. This means that the quality of schools depends 
largely on teachers. In the same way, the quality of 
teachers depends on the institutions that prepared 
them. Therefore, school experience in pre-service 
teacher preparation is central because, it is during the 
practicum that trainees are given an opportunity to apply 
theories that they learnt and also observe experienced 
teachers’ lessons. It is also during practicum that 
trainee teachers are availed an occasion to work with 
real learners (pupils). In this vein, then, there is need to 
have a school experience which is effective. This can 
only occur if it is properly structured, well financed and 
adequately staffed. This paper will provide a situational 
analysis of the common practices of school experience 
at the University of Zambia. The problematisation of 
the situation will be followed by arguing for elements 
which make school experience in pre-service teacher 
preparation effective and responsive to the demands 
of 21st century didactics. Some of the elements will 
include the restructuring of the practicum, adequate 
financing and relooking at practicum implementation 
needs. The paper will conclude by reiterating the fact that the quality of teachers in schools (and lack of it) is 
largely a result of the nature of the school experience 
they underwent. Finally, the paper will submit a 
suggestion for a rethink and reformation of school 
experience in Zambia if the goal of producing quality 
teacher graduates is to be realised.","Manchishi, Peter Chomba; Mwanza, David Sani",2023-11-29T13:48:53Z; 2023-11-29T13:48:53Z; 2018-11-30,https://dspace.unza.zm/bitstreams/28d004db-e7ac-47c6-bf94-30d41e80c4c5/download,teacher training; teacher education; school experience; teaching practice; teacher educator; mentor,,Education,https://dspace.unza.zm/server/oai/request;https://dspace.unza.zm/handle/123456789/8231,Education
UNZA DSpace,oai:dspace.unza.zm:123456789/8805,,"Experiences of teachers and pupils on e-learning prepardness in selected urban schools of Lusaka district, Zambia: an interpretive phenomenological study.","Article.; The study focused on the experiences of teachers and pupils on e-learning preparedness in selected urban schools of Lusaka anchored on interpretive phenomenological perspective. The aim of the study was to explore the experiences of teachers and pupils on e-learning and establish the measures put in place on e-learning preparedness in the selected schools of Lusaka urban. The study used an interpretive phenomenological theoretical framework based on discussions and reflections on direct sensory observations and experiences of the learners. The starting point for using interpretive phenomenology in this
research was our ability to approach this research without knowing a priori assumptions. Phenomenological theoretical framing has been used as a broad and loose name for various analyses that have emphasized experiences, interpretations, narratives, and discourse based on the phenomenological orientation of social science philosophy. Methodologically, employed a qualitative approach particularly in analyzing data. To do so, the study took a total sample size of 25 participants such as 10 pupils, 9 ICT teachers, 2 Head Teachers, 2 specialists from the Curriculum Development Centre (CDC) equaling to the total
of 25 participants. Technically, the researchers used purposive sampling, specifically homogenous sampling to select head teachers, pupils, and curriculum experts. Data was collected using detailed Interview Guide, focus group discussion and observation Checklist on the preparedness of e-learning in selected schools of Lusaka, district in Zambia. Further, data was analysed using thematic analysis where major themes were drawn and coded. Based on the study
findings it is evident to note the teacher’s experiences and challenges of e-learning preparedness were due to the lack of ICT infrastructure, lack of trained ICT teachers, Poor network connectivity, lack of acceptance to new technology, electricity load shedding and the lack of parental involvement in e-learning programmes. Further, on usage, the study revealed that pupils did not know how to use the e- learning platforms, and mostly there is inadequate skills and
knowledge of eLearning software to both teachers and learners. The study postulates the strategies on e-learning preparedness that should include training of Trainers of ICT, Building ICT infrastructure, and ensuring that ICT is a compulsory subject from primary to secondary schools. Additionally, a continuous Professional Development for all teachers on e-learning, monitoring and evaluating of e- learning assessments and feedback should be encouraged in
all schools. The study recommended the forgoing to authorities in the education sector for sustainability, as case studies and best practices, digital literacy and pedagogical approach applicable in Zambia.","Mphande, Fumbani,   Kalisto, Kalimaposo   Phiri, Chidongo,  Tembo, Pilira,  Mwale, Masauso",2024-08-26T09:55:14Z; 2024-08-26T09:55:14Z; 2024-07-25,https://dspace.unza.zm/bitstreams/372b31ab-ec9c-46ec-b63e-861259bad5cd/download,,,Education,https://dspace.unza.zm/server/oai/request;https://dspace.unza.zm/handle/123456789/8805,Education
UNZA DSpace,oai:dspace.unza.zm:123456789/2212,,An evaluation of the impact of income taxation on the growth of small and medium sized enterprises in Zambia,"The purpose of this dissertation was to evaluate the impact of income taxation on the growth of Small and Medium Enterprises in Zambia. It made an attempt to establish the effectiveness of maintaining compliance to the current tax policy by SMEs in Zambia. Furthermore, the research sought to establish whether the laws and the policies governing the regulation of Small business
enterprises encourage them to formalize. The essay also sought to establish the impact of
regional and international aspects of income taxation on SME regulation and development in
Zambia.Through research, it was found that the majority of SMEs in Zambia are informal and many have maintained the status quo arguing that the tax system creates an unnecessary burden on their operations. Furthermore, it was found through research that there is need for income taxation to
be imposed so as to encourage SMEs to formalize. It was also found that there are other non-tax barriers to the growth of SMEs which are connected or incidental to income taxation.Furthermore, it was also established that there is need to strengthen the formulation and implementation of the Micro, Small and Medium Enterprise Development Policy in Zambia so
that it is in line with regional and international standards. Considering the fact that SMEs make up a considerable portion of the private sector the
dissertation recommends that the sector needs to be encouraged to grow and the various policies and pieces of legislation that affect the regulation of SMEs must be reviewed to ensure that they adequately promote the growth of SMEs. This is because SMEs have a number of advantages to
the national and global economy which include job creation, poverty reduction and the equitable access and distribution of social goods.","Nsama, Mwandu",2013-04-15T09:25:30Z; 2013-04-15T09:25:30Z; 2013-04-15,https://dspace.unza.zm/bitstreams/d9930a3d-f5a1-4395-a5dd-de3790298535/download,Effects of Taxation on; Local Taxation,,"Science, Technology, and Innovation",https://dspace.unza.zm/server/oai/request;http://dspace.unza.zm/handle/123456789/2212,"Science, Technology, and Innovation"
UNZA DSpace,oai:dspace.unza.zm:123456789/368,,Investigating Reasons why Mancheula Community in Katete district lags beheind in adult litaeracy,"The purpose of this thesis was to study the levels of adult literacy among the Chewa people of Mancheula Community. This area is at the border between Zambia and Mozambique. In this study, sample population came from eight villages in Mancheula: Fifty households, forty individual adult participants chosen among the leadership in the community, and ten groups for focus group discussion (FGDs) were drawn. The fifty households were drawn as subjects through systematic sampling and they were given questionnaires to answer. Forty subjects were chosen through purposeful sampling to whom in - depth interview was administered.
For focus group discussion, ten groups comprising five to six people were drawn out by random sampling approach.
Although this research study predominantly employed qualitative research methodology, quantitative methodology was used in computing data and presenting it using Statistical Package for Social Sciences (SPSS).
The study brought out many findings. Many adults are unable to read and write just as it is the case with the children of the area. There are no adult literacy programmes in the area and it appears the many Non- Governmental Organizations (NGOs) that have mushroomed in cities and the line of rail have no intention to go to rural areas. There are also many factors that hinder children (the future adults) to go to school. Among these factors are nyau activities, cattle herding and early marriages.
Arising  from  these   findings  of the  study,  the   following  are  some  of the recommendations made to the government of Zambia:
Set up a literacy centre in Mancheula that would reach the youths and adults
who formal education (FE) eluded;
District Education Board should embrace Chiefs to help facilitate educational
activities in their areas;
Integrate   local  African  indigenous  knowledge  systems  such  as  nyau,
Cinamwali, mphala and pa mtondo. This would culminate into localized
curriculum that would give learners continuity thereby closing the existing
gaps in the education","Daka, John Faindani",2011-05-06T13:50:26Z; 2011-05-06T13:50:26Z; 2011-05-06,https://dspace.unza.zm/bitstreams/4f9f53fe-edaa-4ac6-86c8-8f2a5d164c48/download,Adult Literacy-Zambia; Literacy-Zambia,,Education,https://dspace.unza.zm/server/oai/request;http://dspace.unza.zm/handle/123456789/368,Education
UNZA DSpace,oai:dspace.unza.zm:123456789/161,,Genotype and Nitrogen fertilizer influence on Grain yield and protein content of wheat(Triticum aestivum L.),"The grain yield of wheat in Lesotho  is low because of poor soil fertility, and the wheat is regarded by the millers to be of poor quality and therefore of less value. A field study was therefore conducted at three sites in Lesotho( Maseru, Leribe and Mafeteng) to evaluate the influence of genotype and nitrogen application on grain yield and quality of wheat (Triticum aestivum L.) The varieties assessed were Tugela DN, Betta DN, SST 124 and caledon at a seeding rate of 50kg ha-1. Nitrogen was applied at five rates of 0,20,40,60, and 80 kg N ha-1. The experiment was arranged  in a split-plot design, with varieties as the main- plot factor and nitrogen rates as the sub-plot factor. The treatment combinations were replicated three times . Grain yield and yield parameters (thousand-kernel weight , grain number per head, number of heads per square meter and harvest index) were measured. Quality parameters were protein content percent and mixograph development time. Grin yield significantly (P<_0.05) increased with Application at Leribe averaging 3000 kg ha-1. Number of heads per square meter was also significantly(P<_0.05) increased while thousand kernel weight was significantly (P<_0.05) decreased at rates of N application higher than 40kg N ha-1. At Maseru and Mafeteng applied N had no effect on grain yield. Infact grain yield decreased with application of N over 20kg N ha-1 at Mafeteng. The number of heads per square meter also significantly(P<_0.05) decreased, suggesting poor emergence or tillering. At Maseru the thousand kernel weight was significantly (P<_0.05) decreased with increasing nitrogen application. Across the three sites grain yield increased significantly (P<_0.05) when N was applied over 20kg N ha-1. The number of heads per square meter also significantly (P<_0.05) decreased at higher rates of N application. Applied N fertilizer (P<_0.05) increased grain protein content. However, the protein contents of wheat at Maseru and Mafeteng were higher, averaging 11% and 15% respectively. This observation is probably due to a concentration effect of protein content due to small grain size.Mixograph development times were within the acceptable range of 2.5-4.0 minutes for wheat from all the three sites. The four varieties did not significantly differ in grain yield or quality at all the three locations. However, they significantly differed in mixograph development times with Tugela DN giving the highest value averaging  4.0 minutes, and the lowest being caledon at 2.5 minutes. This study has shown that wheat yields and quality in Lesotho can be improved by applying before recommendations of N fertilizer rates and management strategies under dry land conditions can be made to farmers in Lesotho.","Makhale, Gerard Lekula",2011-02-01T12:41:36Z; 2011-02-01T12:41:36Z; 2011-02-01,https://dspace.unza.zm/bitstreams/a0520b40-eca4-4120-9856-2a3ab7903b91/download,Nitrogen Fertilizer influence on Wheat; Influence on Protein content of Wheat; Genotype and Nitrogen Fertilizer influence-crops,,Uncategorized,https://dspace.unza.zm/server/oai/request;http://dspace.unza.zm/handle/123456789/161,Uncategorized
UNZA DSpace,oai:dspace.unza.zm:123456789/8658,,Performance evaluation of internet protocol security (IPSec) over multiprotocol label switching (MPLS).,"Thesis of  Master of Engineering in Information and Communication Technology Security.; For nearly two (2) decades, Multiprotocol Label Switching (MPLS) has provided Wide Area Network (WAN) solutions for enterprises and large organizations to manage their multiple networks in different locations. Real time networks have been affected negatively by high latency due to inefficient WAN technologies and security solutions. The popularity of Multi-protocol Label Switching (MPLS) continues to increase with Internet and Data Service providers (ISP) in Zambia. MPLS provides network efficiency through traffic engineering and Quality of Service, however, by default, it does not provide any mechanism for authentication and encryption of the data as it travels through the public network provided by Internet service providers. In order to resolve the security concerns in MPLS, this study has deployed the Internet Protocol Security (IPsec) over MPLS in order to provide additional layer of security to data during transmission. The method used to conduct this research is experiments. The research is conducted in a live environment where the service provider network implements MPLS and IPsec is deployed on Customer edge routers. Three (3) Customer Edge routers over the ISPs MPLS public network were deployed in different locations and configured with policy based IPsec. Data was collected before IPsec deployment and after IPsec deployment in order to analyze the performance metrics such as packet lengths, round trip times, authentication and encryption. The study captured and analyzed 15,362,356 packets. It has been established that using MPLS
provides minimal security to data through the use of labels. This label feature both separates traffic streams and provides efficient use of network resources as IP addresses are not used to route traffic in the MPLS environment. It is worth noting that implementing IPsec over MPLS improves the security of the network and data. The study has shown that IPsec and MPLS are better together because the security risks associated with transmitting data over MPLS are resolved by IPsec. IPsec provides data privacy and security per connection for network traffic crossing the perimeter. Further, the authentication of peers and data provides the mechanism of identification and verifying the IPsec peers and validating the authenticity of the data send against the one received.","Mwape, Jessy Chisenga",2024-06-06T12:58:09Z; 2024-06-06T12:58:09Z; 2024,https://dspace.unza.zm/bitstreams/5f6ffcf4-55db-445e-a7b0-5827dfe7dd16/download,,,Infrastructure,https://dspace.unza.zm/server/oai/request;https://dspace.unza.zm/handle/123456789/8658,Infrastructure
UNZA DSpace,oai:dspace.unza.zm:123456789/7812,,The school manager we want: voices of stakeholders.,"Thesis; The study investigated how views of stakeholders were embraced in school management, focusing on stakeholders’ participation in decision making, factors affecting participation and effects of participation in decision making.
The analysis was based on the findings of the study conducted in six selected schools of Choma District on a representative sample (124) of stakeholders, teachers, pupils, general public and managers of schools, district and province. The results represented in graphs, tables and pie charts were analysed through coding, tabulation, assessing the means using percentage and explanations. Data was collected using structured questionnaire, interviews and focus groups discussions
The study showed that views of stakeholders were not adequately embraced in decision making process. Therefore, there is need to support capacity building for school managers, targeted orientation for stakeholders, and as well as supporting school committees with resources to establish and sustain existing committees. The results also act as a basis for further research work in future.","Mazuba, Hectoria",2022-10-03T12:49:22Z; 2022-10-03T12:49:22Z; 2022-08-02,https://dspace.unza.zm/bitstreams/ce069d08-ee10-4952-be14-f8a993b280cf/download,Community and school--Zambia.,,Education,https://dspace.unza.zm/server/oai/request;http://dspace.unza.zm/handle/123456789/7812,Education
UNZA DSpace,oai:dspace.unza.zm:123456789/1591,,Outcome of Tuberculosis treatment in sputum positive patients after eight months of anti-tuberculosis therapy,"The Study was conducted at the University Teaching Hospital (UTH), chest clinic. The purpose of the study was to find out the outcome of tuberculosis treatment in Sputum Positive Patients after eight months anti-tuberculosis treatment.
Observation and literature review has shown that there has been an increase in the number of tuberculosis patients since 1980 .A large proportion of this increase has been attributed to the endogenous activation of dormant tuberculosis in HIV infected patients. Literature has also revealed an increase in the case fatality rate due to poor diagnosis of TB patients and this is despite TB being a curable and preventable disease.
The study is a retrospective audit of Tuberculosis files from January 1997 to December 1997. 256 files of adults who were diagnosed to be sputum positive were chosen by systematic sampling technique and data was analysed by computer using the EPI-INFO programme.
The findings of the study revealed that Tuberculosis affects more people between the ages of 20 and 45 years (84.7%), and males being in the majority (55.1%). 49.8% of the subjects files were not re-tested at the end of the two months intensive therapy. 58.7% did not complete their treatment, of these, 76.3% were defaulters. Almost 10% (9.5%) of these died while on anti-tuberculosis treatment. The majority of these came from high density areas compared to a low number 3.4% who lived in low density areas.
The study is clearly demonstrating the serious problem the tuberculosis control program is facing in Zambia. It appears the efforts put in are not enough. Therefore there is a probability of an explosive outbreak of dangerous type of tuberculosis involving all age groups and sexes and geolocations.","Mupakile, Semu Cyril",2012-08-08T11:09:16Z; 2012-08-08T11:09:16Z; 2012-08-08,https://dspace.unza.zm/bitstreams/837db96b-9b93-498d-8897-b8c332bbf2e5/download,Tuberculosis - Zambia,,Education,https://dspace.unza.zm/server/oai/request;http://dspace.unza.zm/handle/123456789/1591,Education
UNZA DSpace,oai:dspace.unza.zm:123456789/210,,Genotypic differences in lodging and Mechanical strength in stalks and Peduncles of Pearl millet (Pennisetum glaucum (L.) R. Br.),"Differences were found in lodging and mechanical strength tests among pearl millets, pearl millet x Napier grass (PMxNG) lines, test crosses and sorghum. In 1987 field lodging ranged from 0 to 98%. Test crosses with PMxNG lines lodged worse on average than the millets or sorghum, but they were superior to the millets and sorghum in mechanical stalk strengths tests crosses was due to peduncle breakage. Stalk and peduncle lodging were distinguished in 1988 and peduncle lodging was more critical than stalk lodging. The PMxNG test crosses were superior to the millet and sorghum in rind thickness of basal stalk internodes, which in all genotypes was correlated with stalk crushing strength (0.59* to 0.97**) and stalk breaking strength (0.70** to 0.98***). Sorghum was generally superior in all traits except stalk crushing strength, yield, tillering and peduncle length. Unlike millet increased peduncle length in sorghum had no effect on either stalk or peduncle lodging. Rind thickness and diameter were important in imparting strength to stalks and peduncles. The range of correlations found between traits were 0.49* to 0.84* for rind thickness diameter of peduncle; 0.74** to 0.86*** for peduncle with stalk diameters; and 0.69** to 0.90* for diameter with length of peduncle. Inconsistencies existed between field lodging and mechanical strength tests. Strong correlations were found (0.77** to 0.96**) between crushing strength and breaking strength and but correlations between the stalk and peduncle tests were inconsistent. Although there was heterosis for increased stalk and peduncle strength in test crosses, increased height, tillering and yield often gave more lodging. Generally, seed parent 68B (or 68A) per se or in test crosses proved superior to 23DBE (or 23DAE) in peduncle lodging. The best average combiners were lines 86-59110-9 for stalk diameter and rind thickness and 88134 for peduncle rind thickness.","Muuka, Ferdinand P",2011-03-16T11:33:07Z; 2011-03-16T11:33:07Z; 2011-03-16,https://dspace.unza.zm/bitstreams/e28fd0db-a3a1-46ed-8f22-ce64f20736e2/download,Millet,,Uncategorized,https://dspace.unza.zm/server/oai/request;http://dspace.unza.zm/handle/123456789/210,Uncategorized
UNZA DSpace,oai:dspace.unza.zm:123456789/9338,,"Exploring the financial literacy practices among selected youth entrepreneurs in Lusaka district, Zambia: a phenomenological perspective.","Thesis of Doctor of Philosophy in Adult Education.; This study aimed to explore the financial literacy practices among selected youth entrepreneurs in Lusaka District, Zambia, from a phenomenological perspective. The objectives that guided the study were to: (1) establish the financial literacy practices among selected youth entrepreneurs in
Lusaka District, (2) identify factors affecting financial literacy practices among selected youth entrepreneurs in Lusaka District, (3) ascertain the opportunities of financial literacy practices among selected youth entrepreneurs in Lusaka District, and (4) establish the constraints encountered by youth entrepreneurs in financial literacy practices in Lusaka District. A qualitative research approach was adopted and used in which a total sample size of 30 participants, including youth entrepreneurs and officers from the Ministry of Small and Medium Enterprises, were purposively selected from Lusaka District. Data was collected through face-to-face interviews and non-participant observations. An interpretive phenomenological research design was used to explore and analyse the experiences and perspectives of participants in depth. The study found that youth entrepreneurs in Lusaka engage in several key financial literacy practices, which included; budgeting, separating needs from wants, saving for emergencies, setting financial goals, and planning for the future. Furthermore, they recognize the importance of protecting themselves through life insurance and investing in education. Among the factors affecting financial literacy practices included gender, socio-economic status, access to education, professional financial role models, availability of financial training, financial attitude, and psychosocial experiences based on age. The study also established several opportunities associated with financial literacy practices among youth entrepreneurs and these were not limited to; the development of saving habits, access to accurate financial information, financial independence, and the ability to identify financial scams. However, youth entrepreneurs faced various constraints that hinder their financial literacy skills, such as lack of financial accountability, transparency, financial ethics, inadequate capital,
policy inconsistencies, limited financial networks, and the absence of financial education. Based on these findings, the study recommends that the government increase the number of financial literacy programmes and target more youth beneficiaries to encourage participation. NGOs should
improve the reach and appeal of their programmes to ensure higher youth involvement. Moreover, the government should foster greater collaboration with financial literacy role models and organizations to help youth entrepreneurs grow in their ventures. Youth entrepreneurs themselves are advised to actively engage in financial literacy programmes, seek mentorship from experienced financial professionals, and embrace sound financial management practices to enhance their business sustainability and growth. 

Keywords: Youth; Entrepreneurs; Financial Literacy; Practices; Phenomenology.","Kasonde, Agatha",2025-07-31T09:24:29Z; 2025-07-31T09:24:29Z; 2025,https://dspace.unza.zm/bitstreams/9178e8e6-1d68-4a70-bae1-7d5610057e57/download,,,Education,https://dspace.unza.zm/server/oai/request;https://dspace.unza.zm/handle/123456789/9338,Education
UNZA DSpace,oai:dspace.unza.zm:123456789/6735,,Strength and physical properties of Zambian grown eucalyptus poles.,"Poles used for overhead power and telecommunication lines and buildings are specified by species, physical
properties such as moisture content, and dimensions as well as strength properties such as ultimate load.
These properties vary from species to species. Design stresses may be determined using testing methods
specified in various codes to arrive at grade stresses. For example, in Australia and New Zealand, the poles
are assigned one stress grade higher than the highest grade of the same sawn timber. Design stresses jar
American preservative-treated round poles were established following tests specified by ASTM Standards
D3200. In the United Kingdom, BS 1990 Parts 1 and 2 give specifications for wood poles for overhead
power and telecommunication lines. In Zambia, there is no standard that deals specifically with overhead
power and telecommunication lines. However, it is necessary to test Zambian plantation-grown poles and
establish basic physical and structural properties. This paper aims to present a method that can be used for
for establishing a Zambian standard for poles.
Eucalyptus poles are used in fencing, overhead power and telecommunication lines, mine props, support
structures, building structures and in the production of sawn timber. In all these uses, the physical and
strength properties of the poles are of great importance. This paper presents test results on Eucalyptus
grandis and Eucalyptus cloesiana poles which were tested following guidelines for testing poles used for
overhead power and telecommunication lines are contained in BS 1990 Part 1.
Keywords: Poles; Eucalyptus; Structural properties; Testing","Lusambo, Edward",2020-12-14T09:26:30Z; 2020-12-14T09:26:30Z; 2005-05-20,https://dspace.unza.zm/bitstreams/e1f3bdcf-ecb8-4d59-8a80-46d8398ee27f/download,Eucalyptus--Poles; Telecommunication lines,,Energy,https://dspace.unza.zm/server/oai/request;http://dspace.unza.zm/handle/123456789/6735,Energy
UNZA DSpace,oai:dspace.unza.zm:123456789/301,,The determinants of banking sector interest rate spreads in Zambia,"Financial intermediation is essential for economic development. The consensus is that Zambia needs a stable and efficient banking system in order to finance both private and public
investment and expenditures. The effectiveness of the banking system in channelling funds from surplus to deficit actors is often gauged by examining the spread between lending and deposit rates and by assessing the degree of operational efficiency of the banking industry. Although Zambia has made some progress since the deregulation of its banking system, interest rate spreads remain absolutely high. When the spread between lending and deposit interest rates is too large, it is generally regarded as a considerable impediment to the expansion and
development of financial intermediation, as it discourages potential savers with low returns on deposits and limits financing for potential borrowers, thus reducing feasible investment
opportunities and therefore the growth potential of the economy. However, Zambia's experience indicates a widening spread in the post-liberalization period. This research will therefore contribute to fill the knowledge gap by examining why interest rate spreads are still persistently high in Zambia despite successful financial reforms. The aim of this study has been to investigate the levels and trends in interest rate spreads, to
document the key macroeconomic and market determinants of interest rate spreads and to
provide policy options that would help to narrow the interest rate spreads so as to enhance the efficiency of the Banking Sector and hence economic growth and development of Zambia. In particular, the study investigates the effects of inflation, exchange rate volatility, reserve requirements and discount rates on interest rate spreads. The study uses Ordinary Least Squares to estimate the Log-Linear regression model to explain the main determinants of interest rate spreads in Zambia. Quarterly time series data is used from 1995 to 2008 and it was collected from the Bank of Zambia. The Dickey- Fuller and Augmented Dickey- Fuller Tests were
performed to determine if the variables were stationary and to determine their order of integration. To avoid spurious results, a cointegration analysis using the Johansen Maximum Likelihood ratio test was done to determine whether the variables are cointegrating. The loglinear empirical model was estimated by Ordinary Least Squares using EViews econometric
Package. To ensure that the model was adequate and that consistent and unbiased parameter estimates were obtained, various diagnostic tests were conducted. The study checked and
corrected for violations of the standard assumptions of the regression analysis. The Ramsey RESET test was also conducted to ensure that model was correctly specified.
The study found exchange rate volatility and inflation rate to be statistically insignificant. Hence the government should not use them in an attempt to influence interest rate spreads as such policies are bound to fail. However, the study found the lag of the interest rate spread, the discount rate and reserve requirements to be positive and statistically significant. Hence policies targeting these are likely to be more effective at reducing the persistently high interest rate spreads.","Banda, Charles Masili",2011-04-06T16:10:34Z; 2011-04-06T16:10:34Z; 2011-04-06,https://dspace.unza.zm/bitstreams/881f3cca-e8de-490f-871e-9c517b163355/download,Bank-Interest Rates; Banking,,Manufacturing,https://dspace.unza.zm/server/oai/request;http://dspace.unza.zm/handle/123456789/301,Manufacturing
UNZA DSpace,oai:dspace.unza.zm:123456789/3741,,"The causal relationship among financial development, trade openness, and economic growth in Zambia(1965-2011)","MA Dissertation; The aim of this study was to investigate the causal relationship among financial development, trade openness, and economic growth in Zambia from 1965 to 2011. To fully understand this relationship, two measures of financial development were used: broad money and domestic credit to the private sector, each as a ratio of gross domestic product (GDP). In this regard, two models were developed for each indicator. Using Augmented Dickey-Fuller (ADF) and Phillips-Perron (PP) stationarity tests we found that all the variables were integrated of order one. Furthermore, Johansen’s test for cointegration indicated that the variables in each model had one cointegration relationship. Therefore, the vector error correction model (VECM) was employed to examine the short-run and long-run dynamics among the variables in each model. The results indicate that relationship among financial development, trade openness, and economic growth is sensitive to the financial development indicator chosen. 

In the short run, we found that economic growth and trade openness Granger cause financial development. This result was obtained when using domestic credit to the private sector as an indicator of financial development. Moreover, using the same indicator, we found a unidirectional relationship running from trade openness to financial development, though in a negative way. Using broad money as an indicator of financial development, we found no causal relationship among financial development, trade openness, and economic growth. 

In the long run, we found that financial development and trade openness cause economic growth when broad money is used as an indicator of financial development. On the other hand, we found that economic growth and trade openness cause financial development when domestic credit to the private sector is used as a measure of financial development. However, in both cases, the causal link was found to be weak suggesting that Zambia’s financial sector is still in its infancy stage and exhibits some characteristics of financial repression. Furthermore, Zambia’s trade policies thus far have not contributed much to economic growth.

On the policy front, it is important for policy makers in Zambia to pursue policies that further open up the economy to international trade with caution. This is because trade openness hinders the growth of domestic credit to the private sector in the short run. Notwithstanding, some degree of openness to international trade is also important since trade openness and economic growth jointly increase the supply of domestic credit to the private sector. Therefore, the focus of trade policy should be on finding the appropriate degree of trade openness that will support domestic credit to the private sector given the rate of economic growth.

In the long run, policy makers should consider policies that increase broad money and trade openness as they are important factors in promoting economic growth. With high economic growth rates coupled with increased international trade it is envisaged that domestic credit to the private sector will increase.","Zombe, Chibvalo",2015-02-26T08:43:48Z; 2015-02-26T08:43:48Z; 2015-02-26,https://dspace.unza.zm/bitstreams/75afbaa2-723f-4038-8317-52b39a88ec75/download,Zambia-Economic Conditions; Investments-Zambia,,Governance,https://dspace.unza.zm/server/oai/request;http://dspace.unza.zm/handle/123456789/3741,Governance
UNZA DSpace,oai:dspace.unza.zm:123456789/3102,,Aggravated robbery in the Zambian criminal justice system: controlled use of firearms,"The regulation of firearms is a pertinent issue in every nation because it hinges on the protection of human life. A nation with uncontrolled use of firearms is prone to have high levels of insecurity. As a result nations, such as Zambia have developed firearm laws which control the use of firearms in that particular State. The Firearms Act, Chapter 110 of the Laws of Zambia regulates firearms in Zambia. This research investigates the role of the firearm licensing procedure prescribed in the Firearms Act, with regard to the controlled use of firearms. This study is important because it coincides with a period of public debate and outrage on the uncontrolled use of firearms, increase in aggravated robbery cases and other related cases in Zambia. There have been newspaper reports and cases concerning shootings and cases of aggravated robberies. This uncontrolled use of firearms has raised concern as to how the Firearms Act aids regulation of firearms. Using desk analysis this research evaluates legislation such as the Firearms Act and the Penal Code; it also evaluates literature such as case law and other documentation. Information relevant to this research was also obtained from interviewing officers at the Zambia Police Headquarters and the Office of the Director of Public Prosecutions. This research finds that the licensing procedure under the Firearms Act does not regulate access of firearms to the public because of the weaknesses in the licensing procedure. This research recommends that the Firearms Act be amended to include stringent measures to control access of firearms to the public.","Nachilima, Patricia",2013-11-29T14:02:42Z; 2013-11-29T14:02:42Z; 2013-11-29,https://dspace.unza.zm/bitstreams/6b305b6c-20d4-4943-95d7-328331503add/download,Robbery- Zambia; Firearms. Robbery- Zambia; Violent crimes- Zambia; Criminal justice system- Zambia; Robbery. Weapons- Zambia,,"Science, Technology, and Innovation",https://dspace.unza.zm/server/oai/request;http://dspace.unza.zm/handle/123456789/3102,"Science, Technology, and Innovation"
UNZA DSpace,oai:dspace.unza.zm:123456789/1988,,"Commercial farming and social change in Mkushi district, 1945-1975","The study deals with agricultural development within the context of a changing environment both under colonial rule and in the post-colonial period.    It is a case study of Mkushi District in which a farm block was established where white farmers, especially ex-servicemen, were settled on crownland in the 1950s.In this study I argue that ecological problems in agriculture and animal husbandry were serious constraints in the economic development of the area. Colonial rulers were concerned about solving ecological problems facing agriculture. This concern facilitated the exploitation of natural resources.    The colonial policies after 1950 were formulated and implemented mainly to deal with environmental problems as a way of facilitating improved agricultural production.    These efforts were relatively successful during the colonial era but were not so successful in the post-colonial period because the new government did not fully attend to conservation measures.    The study will also deal with the socio-economic changes which were brought about by the development of commercial farming amongst the farm workers in the farm block.The first chapter gives a historical background of commercial  farming in Northern Rhodesia from 190-0-1945. It examines the government policies pertaining to commercial farming in a colonial setting.The second chapter is the main chapter and  deals with the development of commercial farming
on Mkushi farm block. It also examines the policies of the colonial government regarding commercial agriculture in the area.The final chapter discusses the post-colonial agricultural developments in the farm block.","Simunchembu, Chipo Munzabwa",2012-11-28T08:44:14Z; 2012-11-28T08:44:14Z; 2012-11-28,https://dspace.unza.zm/bitstreams/c7343866-4049-4f0c-9588-d6bc76b3fb78/download,"Commercial Farming-Mkushi, Zambia; Large Scale Farming-Mkushi, Zambia; Agriculture-Social Aspects",,Agriculture,https://dspace.unza.zm/server/oai/request;http://dspace.unza.zm/handle/123456789/1988,Agriculture
